City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,san jose de gracia,MX,59.16,overcast clouds,20.6667,-102.5833,ingiaterra
94,khani,GE,54.97,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
95,marawi,PH,74.64,broken clouds,7.9986,124.2928,Derogongan Residence
96,thompson,CA,44.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
97,palmer,US,67.48,overcast clouds,42.1584,-72.3287,Wedgewood Motel
99,manturovo,RU,40.39,overcast clouds,58.3353,44.7619,ProstoХостел
101,arraial do cabo,BR,69.12,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
102,jamestown,US,67.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
105,pokhara,NP,69.67,overcast clouds,28.2333,83.9833,Butterfly Lodge
106,peace river,CA,41.31,few clouds,56.2501,-117.286,BCMInns - Peace River
107,ellensburg,US,58.64,overcast clouds,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
109,betanzos,ES,60.12,fog,43.2804,-8.2147,Hotel Garelos Betanzos
110,kostomuksha,RU,38.64,overcast clouds,64.571,30.5767,U Mikhailicha
111,el uvito,CO,50.14,broken clouds,7.2429,-72.6294,"Cabaña ""El Mirador"""
114,san quintin,MX,67.68,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
115,bethel,US,70.72,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
117,grand gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
118,pudozh,RU,40.42,broken clouds,61.8099,36.5345,Guest-House na Transportnoy
119,sasni,IN,74.35,overcast clouds,27.7167,78.0833,RajGiri
120,caravelas,BR,71.19,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
121,consuegra,ES,66.2,broken clouds,39.4625,-3.608,Hotel Rural La vida de antes
122,reconquista,AR,54.9,clear sky,-29.15,-59.65,Grand Hotel
125,kozulka,UA,59.29,overcast clouds,50.0351,23.797,Charivni Ozera
126,coquimbo,CL,53.33,scattered clouds,-29.9533,-71.3436,Punto de encuentro
127,ilo,PE,59.7,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
128,fairbanks,US,54.61,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
130,rio grande,BR,49.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
133,leshukonskoye,RU,37.26,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
134,contamana,PE,69.17,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
135,berlevag,NO,41.67,overcast clouds,70.8578,29.0864,Kvitbrakka
137,kjollefjord,NO,42.85,overcast clouds,70.9457,27.3465,Hotel Nordkyn
138,bulgan,MN,62.02,scattered clouds,48.8125,103.5347,Unitel Булган салбар
141,khor,RU,70.56,scattered clouds,47.8861,134.9464,Gostinitsa Deksi
142,batagay,RU,50.09,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
143,east london,ZA,54.54,clear sky,-33.0153,27.9116,Tu Casa
144,qaqortoq,GL,39.61,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
146,ferkessedougou,CI,71.37,broken clouds,9.6,-5.2,Hotel Chateau
149,hobart,AU,58.26,light rain,-42.8794,147.3294,Mantra on Collins Hobart
150,port alfred,ZA,55.29,light rain,-33.5906,26.891,The Halyards Hotel
152,new norfolk,AU,57.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
154,port augusta,AU,69.94,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
155,longyearbyen,SJ,40.84,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
156,te anau,NZ,42.33,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
157,mar del plata,AR,50.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
158,ajdabiya,LY,70.79,clear sky,30.7554,20.2263,Almadina Hotel
162,severo-kurilsk,RU,54.18,clear sky,50.6789,156.125,Kak Doma
164,scarborough,GB,57.51,overcast clouds,54.2797,-0.4044,Ambassador Roomzzz
165,bridlington,GB,57.88,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
167,duluth,US,74.68,light rain,46.7833,-92.1066,South Pier Inn
168,port stanley,FK,36.16,overcast clouds,-51.7,-57.85,The Waterfront Boutique Hotel
169,codrington,AU,66.45,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
171,inirida,CO,73.09,clear sky,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
172,puerto ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
173,chuy,UY,49.98,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
174,mwanza,TZ,64.45,light rain,-2.5167,32.9,Gold Crest Hotel
178,nikolskoye,RU,42.03,broken clouds,59.7035,30.7861,Tourist House - Sablino
179,skjervoy,NO,45.45,overcast clouds,70.0311,20.9714,Skjervøy Byggeservice AS
180,songjianghe,CN,68.22,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
181,mehamn,NO,42.98,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
183,luanda,AO,71.24,overcast clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
184,nuuk,GL,36.61,overcast clouds,64.1835,-51.7216,Vandrehuset
187,makurdi,NG,73.11,light rain,7.7411,8.5121,Doo Palace Hotel
189,pendleton,US,57.99,broken clouds,45.6721,-118.7886,Americas Best Value Inn Pendleton
190,luena,AO,63.82,overcast clouds,-11.7833,19.9167,Hotel Kandamba
191,bambous virieux,MU,70.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
194,erzin,TR,61.32,clear sky,36.9559,36.2,Artemis Otel
197,carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
198,ust-nera,RU,59.0,scattered clouds,64.5667,143.2,Hotel Ust-Nera
200,iqaluit,CA,35.33,clear sky,63.7506,-68.5145,Frobisher Inn
201,norman wells,CA,46.44,scattered clouds,65.282,-126.8329,Heritage Hotel
206,mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
207,lompoc,US,58.01,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
212,san bartolome,ES,64.87,scattered clouds,27.9248,-15.5733,Las Tirajanas
213,sorland,NO,48.27,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
217,gat,IL,72.28,clear sky,31.61,34.7642,OlusHome
218,den helder,NL,60.98,mist,52.9599,4.7593,Hotel Den Helder
219,straumen,NO,51.8,overcast clouds,63.8709,11.2999,Jægtvolden Fjordhotell
220,russell,US,74.97,overcast clouds,32.3502,-85.1999,Macs
