City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,lodi,US,38.1302,-121.2725,75.94,62,0,4.0,clear sky
160,faanui,PF,-16.4833,-151.75,79.11,72,0,21.63,clear sky
161,sao filipe,CV,14.8961,-24.4956,79.41,82,100,7.23,overcast clouds
162,severo-kurilsk,RU,50.6789,156.125,54.18,71,9,8.75,clear sky
163,guiratinga,BR,-16.3494,-53.7583,80.83,36,49,1.9,scattered clouds
164,scarborough,GB,54.2797,-0.4044,57.51,89,100,4.94,overcast clouds
165,bridlington,GB,54.0831,-0.1919,57.88,86,100,5.95,overcast clouds
166,farkhor,TJ,37.4922,69.4036,79.68,12,0,2.15,clear sky
167,duluth,US,46.7833,-92.1066,74.68,84,40,17.27,light rain
168,port stanley,FK,-51.7,-57.85,36.16,67,100,6.58,overcast clouds
169,codrington,AU,-38.2667,141.9667,66.45,61,11,26.02,few clouds
170,kapaa,US,22.0752,-159.319,82.38,74,100,3.0,moderate rain
171,inirida,CO,3.8653,-67.9239,73.09,95,4,3.02,clear sky
172,puerto ayora,EC,-0.7393,-90.3518,67.55,94,56,5.99,broken clouds
173,chuy,UY,-33.6971,-53.4616,49.98,81,0,6.44,heavy intensity rain
174,mwanza,TZ,-2.5167,32.9,64.45,94,20,5.75,light rain
175,bubaque,GW,11.2833,-15.8333,79.32,78,97,5.7,moderate rain
176,ambon,ID,-3.6954,128.1814,86.14,70,40,4.61,scattered clouds
177,eydhafushi,MV,5.1033,73.0708,82.87,76,70,10.67,broken clouds
178,nikolskoye,RU,59.7035,30.7861,42.03,94,70,3.87,broken clouds
179,skjervoy,NO,70.0311,20.9714,45.45,70,100,11.32,overcast clouds
180,songjianghe,CN,42.1859,127.479,68.22,64,100,4.63,overcast clouds
181,mehamn,NO,71.0357,27.8492,42.98,74,100,10.22,overcast clouds
182,ostrovnoy,RU,68.0531,39.5131,42.98,79,90,10.18,overcast clouds
183,luanda,AO,-8.8368,13.2343,71.24,83,100,4.29,overcast clouds
184,nuuk,GL,64.1835,-51.7216,36.61,54,100,8.19,overcast clouds
185,saskylakh,RU,71.9167,114.0833,34.54,97,100,18.72,light rain
186,hobyo,SO,5.3505,48.5268,78.62,82,31,20.18,scattered clouds
187,makurdi,NG,7.7411,8.5121,73.11,97,100,0.69,light rain
188,bilma,NE,18.6853,12.9164,83.55,21,25,10.47,scattered clouds
189,pendleton,US,45.6721,-118.7886,57.99,34,52,1.99,broken clouds
190,luena,AO,-11.7833,19.9167,63.82,49,86,7.58,overcast clouds
191,bambous virieux,MU,-20.3428,57.7575,70.21,94,75,3.44,broken clouds
192,saint george,US,37.1041,-113.5841,86.95,14,1,5.99,clear sky
193,basco,PH,20.4487,121.9702,84.13,77,73,9.17,broken clouds
194,erzin,TR,36.9559,36.2,61.32,81,9,1.86,clear sky
195,nanakuli,US,21.3906,-158.1547,81.77,65,1,5.75,clear sky
196,bukachacha,RU,52.9833,116.9167,51.04,43,4,8.39,clear sky
197,carnarvon,AU,-24.8667,113.6333,68.07,32,0,21.85,clear sky
198,ust-nera,RU,64.5667,143.2,59.0,39,49,4.68,scattered clouds
199,pangkalanbuun,ID,-2.6833,111.6167,90.72,50,90,4.72,overcast clouds
200,iqaluit,CA,63.7506,-68.5145,35.33,80,1,10.36,clear sky
201,norman wells,CA,65.282,-126.8329,46.44,71,40,4.61,scattered clouds
202,bontang,ID,0.1333,117.5,81.3,74,100,6.13,overcast clouds
